CustomerID,Frequency,Monetary,CustomerLifetimeDays
10000,8,5155.32,206
10001,2,1048.12,318
10002,1,4310.2,367
10003,3,492.99,280
10004,1,434.73,338
10005,2,1884.08,272
10006,4,2182.6,62
10008,4,7552.13,64
10009,2,7945.13,95
10010,1,4727.64,184
10012,1,605.64,297
10013,1,301.84,372
10014,2,187.86,39
10015,4,974.47,176
10016,1,85.04,284
10017,3,3201.21,46
10018,2,1316.15,60
10019,4,1509.75,371
10020,1,537.64,372
10021,1,161.51,146
10022,5,51.45,318
10023,1,156.07,219
10024,1,141.89,371
10025,1,126.06,366
10026,1,1560.48,360
10027,1,353.66,20
10030,3,885.97,318
10031,1,622.98,119
10032,2,2612.47,74
10033,2,780.64,200
10034,1,175.17,231
10035,1,285.73,318
10036,2,566.48,316
10037,1,834.84,226
10038,1,200.22,268
10039,4,108.45,367
10040,2,1079.52,134
10041,3,919.78,233
10042,2,556.41,83
10043,8,230.44,266
10044,5,1552.15,364
10045,1,870.12,371
10046,2,317.88,281
10047,1,541.29,275
10048,2,1868.99,293
10049,3,491.31,78
10051,2,48.85,251
10052,1,187.53,114
10053,1,372.85,372
10054,8,309.74,333
10055,4,103.53,154
10056,8,1373.6,358
10057,1,904.05,60
10058,24,2143.62,372
10059,3,822.38,366
10060,1,301.21,84
10061,2,586.32,360
10063,3,216.38,27
10065,1,2293.75,168
10066,1,258.68,288
10067,4,843.01,136
10068,1,6485.24,66
10069,1,189.56,338
10070,1,5977.14,364
10071,1,1232.67,76
10072,3,576.99,50
10073,2,1116.64,365
10074,4,981.47,359
10075,1,1008.43,231
10076,4,1960.7,336
10078,1,462.02,84
10079,2,144.0,367
10080,3,328.15,175
10081,5,201.57,238
10082,2,96.44,372
10083,8,331.19,288
10084,1,33319.82,308
10085,2,3638.47,286
10086,10,12269.73,366
10087,2,195.3,86
10088,2,216.75,22
10089,1,896.51,283
10091,4,550.26,80
10092,2,901.2,245
10093,1,572.6,319
10094,1,1104.75,23
10096,1,489.05,353
10097,1,538.98,114
10098,2,486.97,363
10099,5,469.0,356
10100,1,2445.96,168
10101,1,480.25,24
10102,8,39.53,171
10103,2,292.75,359
10104,4,388.17,37
10105,6,1468.82,357
10106,6,779.78,81
10107,5,3500.97,205
10108,2,76.55,297
10109,1,798.42,275
10110,4,920.01,255
10112,2,2925.72,182
10113,1,110.38,209
10114,1,183.43,14
10115,4,696.74,212
10116,4,449.6,195
10117,7,1063.9,259
10118,3,436.16,168
10119,1,779.67,365
10120,1,436.14,71
10121,3,2505.56,366
10122,1,4639.49,364
10123,2,867.13,95
10124,6,1673.5,176
10125,1,217.91,205
10126,1,1702.04,366
10127,3,4204.69,364
10128,2,104.96,52
10129,10,1760.23,281
10130,5,490.79,371
10132,2,4289.72,148
10133,1,698.41,277
10134,4,1779.99,28
10135,1,8627.24,21
10136,1,623.45,279
10137,1,292.32,304
10138,1,291.65,20
10139,4,725.66,275
10140,1,654.36,237
10141,4,779.64,357
10142,1,611.27,357
10143,9,1114.99,269
10144,4,814.81,35
10145,2,11175.06,76
10146,1,315.06,85
10147,1,466.06,273
10148,5,199.96,365
10149,2,2801.95,370
10150,6,7351.28,64
10151,1,1089.39,158
10152,2,957.59,260
10153,1,1198.29,204
10154,5,4691.52,237
10155,1,4568.42,44
10156,1,133.55,22
10157,1,283.48,366
10159,2,337.19,81
10160,6,203.19,30
10162,6,292.71,23
10163,4,91.84,301
10164,1,523.93,71
10165,2,3172.91,121
10166,2,944.37,238
10167,1,2463.0,80
10168,7,2242.27,17
10169,1,2488.27,216
10170,1,3444.59,365
10171,1,1021.66,273
10172,4,478.14,213
10173,1,305.09,358
10174,8,600.09,182
10175,5,529.78,171
10176,8,2389.65,238
10177,8,2212.4,302
10178,2,434.97,30
10179,1,16667.17,360
10180,8,52.1,309
10181,1,1660.58,191
10182,4,353.47,368
10183,2,869.88,74
10184,4,20125.22,239
10185,1,341.53,371
10186,9,239.46,59
10187,4,642.01,73
10188,1,1602.07,336
10189,2,117.33,254
10191,13,3652.46,63
10192,1,1462.87,368
10193,8,486.12,283
10194,5,396.87,63
10195,3,517.71,100
10196,1,238.58,295
10197,2,125.59,6
10198,1,228.37,319
10199,3,654.67,290
10200,2,621.23,245
10201,1,417.72,83
10202,1,388.36,366
10203,1,576.02,363
10204,7,276.59,321
10205,1,694.13,42
10206,2,552.0,335
10207,4,3341.96,260
10208,3,556.35,308
10209,1,1951.33,241
10210,3,795.64,370
10212,5,842.52,168
10214,1,570.49,317
10215,2,1057.81,370
10216,1,863.0,367
10218,3,2472.19,28
10219,1,542.17,52
10220,3,72.84,357
10221,2,241.48,224
10222,4,256.78,280
10223,3,305.28,365
10224,8,159.69,63
10225,4,329.57,358
10226,5,634.56,260
10227,1,2725.32,80
10229,2,615.56,52
10230,9,233.22,246
10231,2,847.76,363
10232,2,1196.6,318
10233,2,1286.55,181
10234,5,1985.96,307
10235,1,416.88,358
10237,10,317.93,351
10238,1,401.21,171
10239,6,543.54,201
10240,1,813.71,372
10241,1,526.83,365
10242,1,9717.6,282
10243,5,1509.57,274
10244,4,355.47,293
10245,3,963.16,241
10246,2,1446.03,331
10247,1,1995.86,248
10248,2,799.51,266
10249,7,974.37,368
10250,1,1269.79,161
10251,2,1116.86,295
10252,4,382.13,351
10253,1,416.79,275
10255,5,1931.28,331
10256,1,1702.03,169
10257,1,5397.25,267
10258,2,1030.78,352
10259,1,348.18,29
10261,3,2374.6,370
10262,3,515.25,316
10263,10,300.45,242
10264,2,178.96,318
10265,3,1030.71,97
10266,3,4937.37,210
10267,4,468.79,24
10268,4,2612.7,114
10269,3,2145.58,28
10270,3,3018.37,211
10271,3,176.51,245
10272,4,379.65,371
10273,4,249.73,52
10274,3,1081.19,197
10275,4,813.52,239
10277,1,1314.0,244
10278,3,4015.35,322
10279,7,653.34,315
10280,5,182.22,87
10281,3,1299.1,80
10282,1,284.88,364
10284,10,982.41,57
10285,9,121.05,84
10286,3,1992.08,46
10287,1,2314.37,218
10288,3,307.01,256
10289,1,348.15,371
10290,1,1549.13,295
10291,1,735.55,123
10292,6,153.01,336
10293,3,160.69,217
10294,3,651.93,367
10295,5,312.01,274
10296,1,319.54,296
10297,2,151.36,10
10298,1,1258.38,197
10299,1,405.05,301
10301,1,216.77,358
10302,1,6922.12,367
10303,4,1456.29,246
10304,2,1019.62,99
10305,1,325.94,190
10306,1,411.62,140
10307,2,942.28,112
10308,1,1049.05,367
10309,1,310.78,81
